2018-01-04 14:00:37 status unpacked ttf-bitstream-vera:all 1.10-8
2018-01-04 14:00:37 status half-configured ttf-bitstream-vera:all 1.10-8
2018-01-04 14:00:37 status installed ttf-bitstream-vera:all 1.10-8
2018-01-04 14:00:37 trigproc libc-bin:amd64 2.19-0ubuntu6.13 <none>
2018-01-04 14:00:37 status half-configured libc-bin:amd64 2.19-0ubuntu6.13
2018-01-04 14:00:37 status installed libc-bin:amd64 2.19-0ubuntu6.13
2018-01-04 14:01:00 startup archives unpack
2018-01-04 14:01:00 install libmysql-java:all <none> 5.1.28-1
2018-01-04 14:01:00 status half-installed libmysql-java:all 5.1.28-1
2018-01-04 14:01:00 status unpacked libmysql-java:all 5.1.28-1
2018-01-04 14:01:00 status unpacked libmysql-java:all 5.1.28-1
2018-01-04 14:01:00 startup packages configure
2018-01-04 14:01:00 configure libmysql-java:all 5.1.28-1 <none>
2018-01-04 14:01:00 status unpacked libmysql-java:all 5.1.28-1
2018-01-04 14:01:00 status half-configured libmysql-java:all 5.1.28-1
2018-01-04 14:01:00 status installed libmysql-java:all 5.1.28-1
2018-01-11 16:33:02 startup archives unpack
2018-01-11 16:33:02 install python-chardet-whl:all <none> 2.2.1-2~ubuntu1
2018-01-11 16:33:02 status half-installed python-chardet-whl:all 2.2.1-2~ubuntu1
2018-01-11 16:33:02 status unpacked python-chardet-whl:all 2.2.1-2~ubuntu1
2018-01-11 16:33:02 status unpacked python-chardet-whl:all 2.2.1-2~ubuntu1
2018-01-11 16:33:02 install python-colorama:all <none> 0.2.5-0.1ubuntu2
2018-01-11 16:33:02 status half-installed python-colorama:all 0.2.5-0.1ubuntu2
2018-01-11 16:33:02 status unpacked python-colorama:all 0.2.5-0.1ubuntu2
2018-01-11 16:33:02 status unpacked python-colorama:all 0.2.5-0.1ubuntu2
2018-01-11 16:33:02 install python-colorama-whl:all <none> 0.2.5-0.1ubuntu2
2018-01-11 16:33:02 status half-installed python-colorama-whl:all 0.2.5-0.1ubuntu2
